epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,276.544,1.201,0.61154,0.94857,0.87603,0.75522,0.84048,0.44742,1.30033,0.69892,0.96802,0.0095941,0.0095941,0.0095941
43,283.027,1.20448,0.60132,0.94305,0.81689,0.83142,0.83413,0.46367,1.28814,0.79243,0.97448,0.0095842,0.0095842,0.0095842
44,289.504,1.16523,0.58529,0.93552,0.82068,0.74472,0.801,0.44747,1.27583,0.76232,0.9668,0.0095743,0.0095743,0.0095743
45,295.985,1.19407,0.59393,0.94593,0.84013,0.81862,0.85324,0.47365,1.25294,0.66854,0.95796,0.0095644,0.0095644,0.0095644
46,302.622,1.18564,0.59514,0.94906,0.90401,0.84701,0.89511,0.50032,1.26432,0.63372,0.9688,0.0095545,0.0095545,0.0095545
47,309.337,1.16746,0.58422,0.94194,0.83471,0.79366,0.86576,0.4886,1.26116,0.65877,0.97742,0.0095446,0.0095446,0.0095446
48,315.956,1.18441,0.58627,0.94018,0.84626,0.79555,0.85825,0.45645,1.30012,0.67843,0.98291,0.0095347,0.0095347,0.0095347
49,322.454,1.15087,0.57146,0.9375,0.84483,0.78442,0.83989,0.44097,1.35134,0.6776,0.99206,0.0095248,0.0095248,0.0095248
50,329.068,1.17809,0.5871,0.94466,0.91204,0.83727,0.90726,0.50479,1.24771,0.60259,0.95284,0.0095149,0.0095149,0.0095149
51,335.873,1.14538,0.57709,0.94093,0.83865,0.80668,0.84889,0.46389,1.30569,0.69763,0.97354,0.009505,0.009505,0.009505
52,342.628,1.15608,0.58368,0.94191,0.89951,0.8025,0.8817,0.49774,1.24306,0.63338,0.95421,0.0094951,0.0094951,0.0094951
53,349.398,1.16021,0.58275,0.94042,0.83968,0.85535,0.89335,0.49196,1.2475,0.62831,0.95983,0.0094852,0.0094852,0.0094852
54,355.957,1.12783,0.56846,0.9328,0.92489,0.78777,0.89835,0.50048,1.24723,0.60849,0.96158,0.0094753,0.0094753,0.0094753
55,362.446,1.15214,0.57357,0.94412,0.8125,0.77749,0.82888,0.45176,1.29438,0.77839,0.96979,0.0094654,0.0094654,0.0094654
56,368.899,1.14956,0.573,0.93733,0.86276,0.86787,0.90251,0.51559,1.20929,0.62473,0.95065,0.0094555,0.0094555,0.0094555
57,375.364,1.15659,0.57146,0.94434,0.86489,0.89031,0.91227,0.52535,1.17396,0.61495,0.94278,0.0094456,0.0094456,0.0094456
58,382.007,1.1287,0.56906,0.92835,0.79817,0.85805,0.8781,0.50109,1.22346,0.66224,0.95903,0.0094357,0.0094357,0.0094357
59,388.571,1.11155,0.57022,0.93633,0.84486,0.75661,0.79334,0.42191,1.39067,0.78799,1.0015,0.0094258,0.0094258,0.0094258
60,395.217,1.14289,0.56849,0.91959,0.83867,0.81363,0.87965,0.49978,1.28668,0.69672,0.97168,0.0094159,0.0094159,0.0094159
61,401.874,1.11498,0.56316,0.92711,0.88627,0.81286,0.89079,0.52884,1.17019,0.60398,0.94391,0.009406,0.009406,0.009406
62,408.43,1.1377,0.5727,0.9435,0.9037,0.79613,0.87928,0.49473,1.34682,0.65937,0.9816,0.0093961,0.0093961,0.0093961
63,414.902,1.10283,0.55595,0.92867,0.89314,0.86509,0.91891,0.52928,1.20185,0.57719,0.942,0.0093862,0.0093862,0.0093862
64,421.366,1.12095,0.56123,0.93503,0.89485,0.86402,0.92237,0.52492,1.22093,0.56636,0.95156,0.0093763,0.0093763,0.0093763
65,427.979,1.1215,0.557,0.93581,0.85468,0.86926,0.91207,0.51841,1.20872,0.61239,0.94789,0.0093664,0.0093664,0.0093664
66,434.459,1.08947,0.54114,0.91958,0.89755,0.8331,0.90651,0.52586,1.1908,0.59042,0.95032,0.0093565,0.0093565,0.0093565
67,440.896,1.12448,0.56583,0.91846,0.84283,0.82788,0.89009,0.50989,1.19802,0.62899,0.9534,0.0093466,0.0093466,0.0093466
68,447.3,1.10705,0.56123,0.92025,0.90078,0.80809,0.88928,0.51118,1.21092,0.58009,0.94813,0.0093367,0.0093367,0.0093367
69,453.776,1.10301,0.54758,0.93265,0.8348,0.79833,0.86823,0.50406,1.20423,0.63731,0.94457,0.0093268,0.0093268,0.0093268
70,460.217,1.08166,0.54642,0.92066,0.86225,0.85675,0.90161,0.52222,1.23502,0.57624,0.95967,0.0093169,0.0093169,0.0093169
71,466.651,1.11211,0.56028,0.92529,0.91964,0.85675,0.92535,0.53405,1.2122,0.55059,0.94409,0.009307,0.009307,0.009307
72,473.108,1.0907,0.54611,0.92415,0.87793,0.84145,0.90229,0.50911,1.24012,0.57849,0.95813,0.0092971,0.0092971,0.0092971
73,479.64,1.0681,0.53447,0.92302,0.92907,0.7872,0.88172,0.50808,1.29782,0.59847,0.97281,0.0092872,0.0092872,0.0092872
74,486.217,1.07885,0.54151,0.91616,0.87605,0.7864,0.87493,0.49497,1.28221,0.59126,0.95607,0.0092773,0.0092773,0.0092773
75,492.696,1.08922,0.53681,0.91788,0.91392,0.86092,0.91333,0.52578,1.20783,0.57317,0.93979,0.0092674,0.0092674,0.0092674
76,499.177,1.09409,0.54209,0.91819,0.88865,0.88317,0.92207,0.52824,1.21749,0.59879,0.95226,0.0092575,0.0092575,0.0092575
77,505.64,1.11679,0.55095,0.92491,0.87507,0.85118,0.89905,0.52104,1.18645,0.60462,0.93314,0.0092476,0.0092476,0.0092476
78,512.079,1.10051,0.55004,0.92131,0.87889,0.85396,0.9105,0.52899,1.22835,0.57867,0.95036,0.0092377,0.0092377,0.0092377
79,518.485,1.10421,0.55447,0.92254,0.84672,0.82754,0.88696,0.49704,1.24307,0.65319,0.96512,0.0092278,0.0092278,0.0092278
80,524.897,1.07998,0.53825,0.91871,0.89701,0.79947,0.86506,0.50009,1.1868,0.61941,0.94383,0.0092179,0.0092179,0.0092179
81,531.356,1.07047,0.53253,0.92267,0.90195,0.85257,0.91073,0.53108,1.19035,0.54311,0.94618,0.009208,0.009208,0.009208
82,537.812,1.09488,0.54172,0.9148,0.88606,0.86648,0.91612,0.52953,1.19459,0.54673,0.9475,0.0091981,0.0091981,0.0091981
83,544.231,1.07999,0.53118,0.92434,0.90307,0.86816,0.90402,0.51203,1.2109,0.55414,0.94631,0.0091882,0.0091882,0.0091882
84,550.645,1.11035,0.54625,0.92513,0.89203,0.79283,0.87251,0.50267,1.2377,0.55832,0.95214,0.0091783,0.0091783,0.0091783
85,557.15,1.04781,0.5116,0.91712,0.91464,0.85535,0.92394,0.55026,1.16355,0.52037,0.93712,0.0091684,0.0091684,0.0091684
86,563.689,1.03977,0.51095,0.91473,0.91267,0.84562,0.91685,0.55269,1.17421,0.55062,0.9429,0.0091585,0.0091585,0.0091585
87,570.341,1.07344,0.52984,0.91513,0.88498,0.85613,0.91421,0.54007,1.15208,0.56068,0.93943,0.0091486,0.0091486,0.0091486
88,577.006,1.06999,0.52478,0.91144,0.89653,0.86231,0.90413,0.51904,1.18892,0.58357,0.94079,0.0091387,0.0091387,0.0091387
89,583.587,1.08909,0.53907,0.92561,0.889,0.84979,0.90917,0.53567,1.1532,0.5432,0.93479,0.0091288,0.0091288,0.0091288
90,590.255,1.08979,0.53357,0.91833,0.9202,0.83032,0.90056,0.50564,1.19671,0.69693,0.94111,0.0091189,0.0091189,0.0091189
91,597.043,1.04374,0.52333,0.90546,0.89502,0.88178,0.92712,0.55602,1.15881,0.517,0.93506,0.009109,0.009109,0.009109
92,603.9,1.05449,0.52334,0.90855,0.91164,0.8753,0.92788,0.5505,1.15556,0.5181,0.92869,0.0090991,0.0090991,0.0090991
93,610.683,1.03503,0.51997,0.90963,0.8895,0.86509,0.9155,0.54588,1.16545,0.52814,0.93644,0.0090892,0.0090892,0.0090892
94,617.427,1.05013,0.51287,0.9005,0.88325,0.88317,0.92262,0.53553,1.17604,0.5372,0.93004,0.0090793,0.0090793,0.0090793
95,624.175,1.07721,0.52533,0.91695,0.92508,0.86231,0.93386,0.56856,1.16035,0.52502,0.93639,0.0090694,0.0090694,0.0090694
96,630.909,1.06465,0.52522,0.90967,0.87404,0.9072,0.93854,0.56742,1.15286,0.51257,0.9292,0.0090595,0.0090595,0.0090595
97,637.512,1.03915,0.50967,0.91075,0.90916,0.89082,0.92839,0.54565,1.17573,0.52638,0.93447,0.0090496,0.0090496,0.0090496
98,644.345,1.0414,0.50728,0.90415,0.8915,0.90542,0.92963,0.55519,1.13741,0.52125,0.91857,0.0090397,0.0090397,0.0090397
99,651.104,1.03283,0.50629,0.90482,0.91201,0.88178,0.93317,0.556,1.13775,0.52204,0.9152,0.0090298,0.0090298,0.0090298
