epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33238,1.5828,2.77518,1.0418,0.00581,0.5452,0.0111,0.00665,1.53615,3.80489,1.02086,0.000653333,0.000653333,0.000653333
2,8.3367,1.5728,1.69707,1.04923,0.01788,0.20723,0.01519,0.0071,1.51547,8.20015,1.05084,0.00130693,0.00130693,0.00130693
3,12.2441,1.50617,1.39037,1.0395,0.71796,0.59479,0.6193,0.25306,1.61867,1.85213,1.06306,0.00194733,0.00194733,0.00194733
4,16.1389,1.52841,1.25563,1.03311,0.73103,0.4993,0.58193,0.30728,1.50001,1.32287,1.02643,0.0019406,0.0019406,0.0019406
5,20.1341,1.44515,1.08648,1.0131,0.68502,0.66759,0.65353,0.28705,1.52423,1.52312,1.01921,0.0019208,0.0019208,0.0019208
6,24.0901,1.46846,1.00032,1.00445,0.82425,0.75666,0.81591,0.42797,1.3759,1.13062,0.99302,0.001901,0.001901,0.001901
7,28.0286,1.4196,0.9283,1.00901,0.84977,0.70805,0.80935,0.40721,1.39689,0.92807,0.9814,0.0018812,0.0018812,0.0018812
8,31.9811,1.388,0.86825,0.98646,0.81016,0.74131,0.79156,0.40042,1.42881,0.926,1.01899,0.0018614,0.0018614,0.0018614
9,35.8951,1.36817,0.8393,0.99024,0.90508,0.70932,0.80439,0.41755,1.4122,0.82046,1.00012,0.0018416,0.0018416,0.0018416
10,39.852,1.40562,0.84232,0.99253,0.87076,0.78999,0.84682,0.43113,1.32719,0.90222,0.96301,0.0018218,0.0018218,0.0018218
11,43.8107,1.37774,0.79084,0.98694,0.85244,0.77933,0.83542,0.46113,1.23668,0.84325,0.95029,0.001802,0.001802,0.001802
12,47.7571,1.35116,0.75964,0.99423,0.84895,0.80668,0.8646,0.47034,1.33562,0.77762,0.97136,0.0017822,0.0017822,0.0017822
13,51.6388,1.31358,0.74755,0.96745,0.88405,0.79531,0.85771,0.45586,1.34338,0.71527,0.9749,0.0017624,0.0017624,0.0017624
14,55.5272,1.32596,0.75152,0.97561,0.89313,0.80946,0.86925,0.48329,1.27668,0.69018,0.95041,0.0017426,0.0017426,0.0017426
15,59.3854,1.31178,0.7333,0.97517,0.87395,0.73435,0.82593,0.41564,1.31236,0.70726,0.9657,0.0017228,0.0017228,0.0017228
16,63.208,1.31836,0.72729,0.9745,0.87618,0.78733,0.85704,0.46446,1.37498,0.70479,0.9769,0.001703,0.001703,0.001703
17,67.0556,1.33148,0.73082,0.96822,0.89496,0.8178,0.88087,0.4841,1.29246,0.6628,0.96802,0.0016832,0.0016832,0.0016832
18,70.9359,1.29339,0.70607,0.97275,0.87747,0.81671,0.88777,0.50102,1.28169,0.63128,0.94929,0.0016634,0.0016634,0.0016634
19,74.7662,1.32277,0.71514,0.96045,0.88751,0.78303,0.84675,0.46515,1.29586,0.70685,0.96223,0.0016436,0.0016436,0.0016436
20,78.5962,1.25472,0.69683,0.95219,0.8617,0.81502,0.85697,0.47251,1.23433,0.67091,0.93143,0.0016238,0.0016238,0.0016238
21,82.4027,1.28428,0.6941,0.96222,0.895,0.81919,0.87577,0.48068,1.27345,0.67942,0.94946,0.001604,0.001604,0.001604
22,86.2184,1.24056,0.67561,0.94297,0.88467,0.85257,0.88858,0.48944,1.21474,0.64092,0.9415,0.0015842,0.0015842,0.0015842
23,90.0414,1.27032,0.67513,0.95414,0.89655,0.81961,0.88294,0.47328,1.24288,0.63753,0.93485,0.0015644,0.0015644,0.0015644
24,93.8832,1.22443,0.65439,0.93565,0.88224,0.85675,0.89109,0.50145,1.23041,0.65522,0.9307,0.0015446,0.0015446,0.0015446
25,97.7316,1.24634,0.66401,0.94546,0.8939,0.78164,0.86918,0.47487,1.25298,0.64668,0.94825,0.0015248,0.0015248,0.0015248
26,101.575,1.24984,0.65977,0.95639,0.88387,0.8257,0.87631,0.47603,1.20334,0.61144,0.93415,0.001505,0.001505,0.001505
27,105.385,1.22488,0.64223,0.94333,0.86612,0.78303,0.84399,0.45432,1.24588,0.67006,0.93221,0.0014852,0.0014852,0.0014852
28,109.237,1.23423,0.6358,0.94238,0.903,0.82863,0.89685,0.50164,1.20551,0.58772,0.92704,0.0014654,0.0014654,0.0014654
29,113.056,1.20008,0.62662,0.93959,0.90166,0.83032,0.90008,0.50836,1.21603,0.59942,0.92669,0.0014456,0.0014456,0.0014456
30,116.912,1.2146,0.63803,0.93524,0.91168,0.81831,0.89379,0.5075,1.18521,0.58278,0.92267,0.0014258,0.0014258,0.0014258
31,120.737,1.20692,0.639,0.93976,0.90213,0.84613,0.90339,0.50897,1.23945,0.59713,0.93304,0.001406,0.001406,0.001406
32,124.586,1.17768,0.61726,0.93044,0.90455,0.84352,0.89554,0.50831,1.22561,0.64998,0.94128,0.0013862,0.0013862,0.0013862
33,128.42,1.17717,0.61638,0.94167,0.89747,0.83866,0.90398,0.5188,1.19017,0.56723,0.92808,0.0013664,0.0013664,0.0013664
34,132.27,1.21802,0.62406,0.93552,0.86707,0.86926,0.90464,0.51574,1.1662,0.56779,0.9222,0.0013466,0.0013466,0.0013466
35,136.092,1.18149,0.60772,0.93553,0.91052,0.86327,0.91488,0.52208,1.18891,0.58135,0.92262,0.0013268,0.0013268,0.0013268
36,139.932,1.20157,0.61392,0.93443,0.90505,0.84842,0.91187,0.51347,1.19751,0.5798,0.93234,0.001307,0.001307,0.001307
37,143.769,1.15538,0.58343,0.93091,0.88667,0.86648,0.91332,0.52574,1.17371,0.55401,0.92233,0.0012872,0.0012872,0.0012872
38,147.61,1.15686,0.5988,0.93287,0.90993,0.85814,0.91713,0.51649,1.17221,0.58183,0.91801,0.0012674,0.0012674,0.0012674
39,151.405,1.16574,0.5956,0.92298,0.90282,0.86231,0.91095,0.53101,1.18913,0.5685,0.92551,0.0012476,0.0012476,0.0012476
40,155.228,1.16291,0.58309,0.9152,0.88592,0.84247,0.89836,0.50957,1.21452,0.55645,0.92679,0.0012278,0.0012278,0.0012278
41,159.059,1.16825,0.59316,0.92369,0.87585,0.83032,0.88928,0.50194,1.20799,0.55679,0.92181,0.001208,0.001208,0.001208
42,162.886,1.13333,0.56857,0.91883,0.92048,0.82476,0.90752,0.51381,1.15371,0.53156,0.90994,0.0011882,0.0011882,0.0011882
43,166.694,1.14922,0.58109,0.92123,0.92834,0.84688,0.90931,0.5308,1.11186,0.54303,0.91238,0.0011684,0.0011684,0.0011684
44,170.565,1.14993,0.5773,0.9256,0.89427,0.84979,0.90395,0.52548,1.15537,0.56309,0.92245,0.0011486,0.0011486,0.0011486
45,174.378,1.13809,0.57512,0.92645,0.91251,0.85396,0.92251,0.534,1.15504,0.55207,0.91901,0.0011288,0.0011288,0.0011288
46,178.28,1.15668,0.57468,0.9211,0.91309,0.84423,0.9225,0.5365,1.11941,0.53253,0.90657,0.001109,0.001109,0.001109
47,182.216,1.14652,0.57095,0.91945,0.92262,0.86236,0.92194,0.54077,1.1342,0.53878,0.90896,0.0010892,0.0010892,0.0010892
48,186.177,1.11163,0.55577,0.91921,0.92407,0.83727,0.92343,0.54054,1.14377,0.54377,0.91339,0.0010694,0.0010694,0.0010694
49,190.095,1.12008,0.566,0.91529,0.88292,0.8637,0.90956,0.52117,1.16775,0.63033,0.91574,0.0010496,0.0010496,0.0010496
50,194.028,1.10593,0.56084,0.92084,0.9115,0.85952,0.9201,0.53922,1.10253,0.51996,0.90701,0.0010298,0.0010298,0.0010298
51,197.953,1.12213,0.55816,0.91376,0.91532,0.85675,0.92198,0.53352,1.14279,0.53308,0.91699,0.00101,0.00101,0.00101
52,201.82,1.14718,0.5715,0.91216,0.89509,0.85442,0.90887,0.50979,1.1646,0.53257,0.91317,0.0009902,0.0009902,0.0009902
53,205.697,1.12559,0.56378,0.91484,0.90273,0.82607,0.88795,0.50423,1.12568,0.56014,0.9062,0.0009704,0.0009704,0.0009704
54,209.58,1.11216,0.55799,0.91385,0.89021,0.8637,0.91809,0.54175,1.20023,0.54482,0.92992,0.0009506,0.0009506,0.0009506
55,213.431,1.07341,0.54255,0.90232,0.91985,0.88178,0.92798,0.54363,1.08465,0.51181,0.90197,0.0009308,0.0009308,0.0009308
56,217.32,1.10726,0.54957,0.90656,0.89674,0.86509,0.92216,0.54136,1.13827,0.51627,0.90674,0.000911,0.000911,0.000911
57,221.144,1.08905,0.53857,0.90731,0.90709,0.84006,0.91006,0.53189,1.14287,0.53488,0.912,0.0008912,0.0008912,0.0008912
58,224.98,1.10891,0.55449,0.90189,0.90151,0.85814,0.91876,0.54047,1.1261,0.5092,0.90824,0.0008714,0.0008714,0.0008714
59,228.84,1.10049,0.54975,0.89937,0.91307,0.87204,0.92369,0.54779,1.09889,0.52814,0.90475,0.0008516,0.0008516,0.0008516
60,232.747,1.0842,0.53803,0.90478,0.90489,0.85535,0.90917,0.53551,1.17733,0.51744,0.92304,0.0008318,0.0008318,0.0008318
61,236.595,1.08052,0.53697,0.9017,0.90804,0.86509,0.9189,0.54477,1.14288,0.52098,0.91448,0.000812,0.000812,0.000812
62,240.462,1.06082,0.51915,0.90484,0.89535,0.87065,0.91386,0.54057,1.18074,0.51411,0.92853,0.0007922,0.0007922,0.0007922
63,244.302,1.07943,0.52837,0.89805,0.90541,0.86787,0.92526,0.55189,1.15768,0.50251,0.9281,0.0007724,0.0007724,0.0007724
64,248.208,1.06002,0.53012,0.89629,0.89009,0.87622,0.92318,0.55447,1.12063,0.50602,0.90687,0.0007526,0.0007526,0.0007526
65,252.111,1.07827,0.52579,0.89754,0.91987,0.86214,0.91889,0.54713,1.08702,0.51382,0.89843,0.0007328,0.0007328,0.0007328
66,256.027,1.05198,0.51771,0.90011,0.88914,0.87012,0.92273,0.55828,1.1223,0.51807,0.90549,0.000713,0.000713,0.000713
67,260.043,1.05191,0.51838,0.89661,0.89877,0.85814,0.92156,0.55359,1.13455,0.51562,0.90852,0.0006932,0.0006932,0.0006932
68,263.99,1.05029,0.51418,0.89123,0.885,0.86694,0.91583,0.54629,1.10132,0.51426,0.90035,0.0006734,0.0006734,0.0006734
69,267.808,1.06862,0.52084,0.895,0.88133,0.89569,0.92397,0.55127,1.11657,0.50879,0.90736,0.0006536,0.0006536,0.0006536
70,271.603,1.05031,0.51351,0.89495,0.87639,0.88039,0.91886,0.54909,1.10968,0.49417,0.9014,0.0006338,0.0006338,0.0006338
71,275.391,1.03087,0.51503,0.88591,0.89454,0.8966,0.92387,0.56516,1.08238,0.49863,0.9004,0.000614,0.000614,0.000614
72,279.205,1.03679,0.50467,0.89307,0.89331,0.879,0.92351,0.55802,1.06508,0.48491,0.89473,0.0005942,0.0005942,0.0005942
73,283.017,1.04603,0.50738,0.90165,0.90032,0.87622,0.92518,0.5531,1.07445,0.4906,0.8995,0.0005744,0.0005744,0.0005744
74,286.832,1.03945,0.50516,0.8907,0.9096,0.86509,0.9247,0.56146,1.09035,0.48134,0.89909,0.0005546,0.0005546,0.0005546
75,290.638,1.02163,0.49516,0.88208,0.87137,0.88317,0.91794,0.55243,1.11076,0.49644,0.90315,0.0005348,0.0005348,0.0005348
76,294.507,1.01896,0.50353,0.88606,0.89849,0.87622,0.92682,0.5658,1.08725,0.49116,0.90115,0.000515,0.000515,0.000515
77,298.31,1.03025,0.49735,0.88332,0.88875,0.86509,0.91855,0.54648,1.09237,0.47618,0.89821,0.0004952,0.0004952,0.0004952
78,302.126,1.01169,0.48922,0.8903,0.90021,0.89077,0.9347,0.57565,1.08625,0.48526,0.90118,0.0004754,0.0004754,0.0004754
79,305.944,1.02403,0.49675,0.88885,0.90314,0.88183,0.93441,0.57248,1.0734,0.48365,0.89912,0.0004556,0.0004556,0.0004556
80,309.757,1.00454,0.48928,0.88346,0.89752,0.87761,0.9332,0.57128,1.10014,0.46867,0.90716,0.0004358,0.0004358,0.0004358
81,313.581,1.02633,0.49701,0.88282,0.89147,0.87967,0.92849,0.56392,1.07702,0.47228,0.89727,0.000416,0.000416,0.000416
82,317.405,1.03659,0.49938,0.88679,0.87614,0.88039,0.92094,0.55782,1.07128,0.47841,0.8988,0.0003962,0.0003962,0.0003962
83,321.223,1.0223,0.49194,0.88549,0.89347,0.89291,0.93,0.57425,1.06612,0.47809,0.89779,0.0003764,0.0003764,0.0003764
84,325.053,1.02009,0.49365,0.88275,0.89768,0.88039,0.92273,0.56026,1.08725,0.47714,0.90419,0.0003566,0.0003566,0.0003566
85,328.843,0.99252,0.48662,0.89001,0.88601,0.88642,0.92446,0.5613,1.05496,0.48181,0.8932,0.0003368,0.0003368,0.0003368
86,332.651,0.98355,0.47613,0.88006,0.88387,0.88595,0.92604,0.5649,1.07181,0.47085,0.89424,0.000317,0.000317,0.000317
87,336.454,1.00315,0.47804,0.88024,0.89624,0.88734,0.93116,0.57541,1.05395,0.46495,0.88838,0.0002972,0.0002972,0.0002972
88,340.266,0.96664,0.46667,0.88513,0.90243,0.87473,0.92945,0.57693,1.06265,0.45972,0.89387,0.0002774,0.0002774,0.0002774
89,344.085,0.96459,0.46256,0.87374,0.89884,0.879,0.92843,0.57279,1.07156,0.46381,0.89279,0.0002576,0.0002576,0.0002576
90,347.91,0.96445,0.46088,0.87456,0.90691,0.88456,0.93301,0.57617,1.07111,0.45205,0.89487,0.0002378,0.0002378,0.0002378
91,351.988,0.9822,0.46,0.86743,0.89963,0.8851,0.93138,0.569,1.06378,0.46308,0.89467,0.000218,0.000218,0.000218
92,355.802,1.02414,0.46966,0.88399,0.91004,0.88873,0.93762,0.57175,1.05961,0.45554,0.89152,0.0001982,0.0001982,0.0001982
93,359.594,0.97257,0.45543,0.87537,0.90234,0.88873,0.93501,0.56735,1.05899,0.45226,0.89077,0.0001784,0.0001784,0.0001784
94,363.439,0.97593,0.45332,0.87476,0.90591,0.88385,0.93412,0.57049,1.05552,0.46003,0.89121,0.0001586,0.0001586,0.0001586
95,367.23,0.9773,0.45508,0.87341,0.90651,0.89003,0.93517,0.56948,1.06665,0.46225,0.8946,0.0001388,0.0001388,0.0001388
96,371.031,0.99833,0.45833,0.875,0.90529,0.89013,0.93536,0.57744,1.06588,0.45474,0.89501,0.000119,0.000119,0.000119
97,374.814,0.9654,0.44561,0.86843,0.91018,0.88595,0.93669,0.5771,1.05729,0.44724,0.89173,9.92e-05,9.92e-05,9.92e-05
98,378.602,0.96185,0.44186,0.86585,0.90979,0.88371,0.93559,0.57752,1.05644,0.44986,0.892,7.94e-05,7.94e-05,7.94e-05
99,382.378,0.98687,0.4535,0.86734,0.91002,0.89152,0.93624,0.57844,1.05711,0.44919,0.89013,5.96e-05,5.96e-05,5.96e-05
100,386.171,0.95885,0.44297,0.85583,0.90466,0.89569,0.93581,0.57917,1.04853,0.44622,0.88858,3.98e-05,3.98e-05,3.98e-05
