epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21161,1.5828,2.77518,1.0418,0.00581,0.5452,0.0111,0.00665,1.53615,3.80489,1.02086,0.000653333,0.000653333,0.000653333
2,8.18119,1.5728,1.69707,1.04923,0.01788,0.20723,0.01519,0.0071,1.51547,8.20015,1.05084,0.00130693,0.00130693,0.00130693
3,12.002,1.50617,1.39037,1.0395,0.71796,0.59479,0.6193,0.25306,1.61867,1.85213,1.06306,0.00194733,0.00194733,0.00194733
4,15.7574,1.52841,1.25563,1.03311,0.73103,0.4993,0.58193,0.30728,1.50001,1.32287,1.02643,0.0019406,0.0019406,0.0019406
5,19.5195,1.44515,1.08648,1.0131,0.68502,0.66759,0.65353,0.28705,1.52423,1.52312,1.01921,0.0019208,0.0019208,0.0019208
6,23.2617,1.46846,1.00032,1.00445,0.82425,0.75666,0.81591,0.42797,1.3759,1.13062,0.99302,0.001901,0.001901,0.001901
7,26.9915,1.4196,0.9283,1.00901,0.84977,0.70805,0.80935,0.40721,1.39689,0.92807,0.9814,0.0018812,0.0018812,0.0018812
8,30.7201,1.388,0.86825,0.98646,0.81016,0.74131,0.79156,0.40042,1.42881,0.926,1.01899,0.0018614,0.0018614,0.0018614
9,34.4647,1.36817,0.8393,0.99024,0.90508,0.70932,0.80439,0.41755,1.4122,0.82046,1.00012,0.0018416,0.0018416,0.0018416
10,38.2126,1.40562,0.84232,0.99253,0.87076,0.78999,0.84682,0.43113,1.32719,0.90222,0.96301,0.0018218,0.0018218,0.0018218
11,41.9709,1.37774,0.79084,0.98694,0.85244,0.77933,0.83542,0.46113,1.23668,0.84325,0.95029,0.001802,0.001802,0.001802
