epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93802,1.64828,3.33452,1.05161,0.00539,0.50626,0.00459,0.00223,1.46009,3.98842,1.0209,0.00048,0.00048,0.00048
2,7.86168,1.54603,1.71035,1.01654,0.00496,0.46592,0.00811,0.00334,1.60505,3.7578,1.19256,0.000976119,0.000976119,0.000976119
3,11.7129,1.43785,1.39846,1.01081,0.90969,0.08406,0.193,0.1167,1.48601,3.04284,1.06416,0.00146828,0.00146828,0.00146828
